package,file,symbol,kind,current_owner,final_owner,classification,semantic_id,schema,differential
analysis/check/body,api.go,ErrStaticRequired,var,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,ErrUnsupportedCFG,var,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,InputDigest,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,InputDigestContext,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,ObservationStats,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,PathValueFunc,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,PrepareBoundChunk,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,PrepareBoundFunction,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,PrepareChunk,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,PrepareFunction,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,ReceiverCallableFunc,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Result,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,ReturnPresenceRelationsForPathFunc,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,SignatureArgumentTypeFactory,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,SignatureArgumentTypeFunc,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,SolveConfig,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,SolvePrepared,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.Graph,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.HasCallSites,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.HasDynamicIndexWrites,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.IdentityDigest,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.IdentityDigestContext,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.KeySpace,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.OperationPlan,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Static.StableLexicalBodyID,method,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Stats,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_call_invalidation.go,AssignmentCallInvalidation,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_call_invalidation.go,Result.AssignmentCallInvalidations,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_dynamic_read_origin.go,Result.AssignmentSourcePathMatchesDynamicTargetRead,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_fact.go,LocalAssignmentFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_fact.go,OrdinaryAssignmentFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_nilable_access.go,NilableAccessEvidence,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_nilable_access.go,Result.AssignmentNilableAccessEvidence,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,AssignmentAttrKeyLabel,func,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,AssignmentSourceLabel,func,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,AssignmentTargetKey,func,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,LocalAssignmentPresentation,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,LocalAssignmentPresentationFor,func,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,OrdinaryAssignmentPresentation,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,OrdinaryAssignmentPresentationFor,func,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,Result.AssignmentSourceIndexedReadAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,Result.AssignmentSourcePathKey,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,Result.AssignmentSourceReadProvenPresent,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,Result.LocalAssignmentExpectedType,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,Result.OrdinaryAssignmentTargetPathKey,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_presentation.go,TypeAnnotationLabel,func,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_replacement.go,Result.InferredReplacementAccepted,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_replacement.go,Result.OrdinaryWritableTargetType,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_source_contribution.go,AssignmentSourceContribution,type,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_source_contribution.go,Result.AssignmentSourceContributions,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_source_value.go,Result.ExplanationValueShouldReplaceAssignmentSource,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_source_value.go,Result.LocalAssignmentGenericSourceValueMorePrecise,method,analysis/check/body,,unclassified,,,
analysis/check/body,assignment_source_value.go,Result.PreferredLocalAssignmentSourceValue,method,analysis/check/body,,unclassified,,,
analysis/check/body,boundary_address.go,Result.PathKeyAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,boundary_address.go,Result.PathsEquivalentAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,boundary_address.go,Result.StateKeyAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,boundary_address.go,Result.TypestateResourceAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,boundary_address.go,Result.TypestateResourceAtCallEntry,method,analysis/check/body,,unclassified,,,
analysis/check/body,boundary_address.go,Result.TypestateResourceKeyAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_algebra.go,Result.BranchAlgebra,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_condition_occurrence.go,BranchConditionOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,branch_condition_occurrence.go,Result.BranchConditionSpan,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_condition_occurrence.go,Result.ForEachUserVisibleBranchConditionOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_path_usage.go,Result.IfBranchConsumesPath,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_path_usage.go,Result.IfBranchTerminates,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_site.go,BranchConditionFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,branch_site.go,BranchIf,const,analysis/check/body,,unclassified,,,
analysis/check/body,branch_site.go,BranchKind,type,analysis/check/body,,unclassified,,,
analysis/check/body,branch_site.go,BranchRepeat,const,analysis/check/body,,unclassified,,,
analysis/check/body,branch_site.go,BranchWhile,const,analysis/check/body,,unclassified,,,
analysis/check/body,branch_truthy_proof.go,Result.DominatingBranchCheckForPath,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_truthy_proof.go,Result.DominatingBranchProvesLiteral,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_truthy_proof.go,Result.DominatingLiteralBranchForPath,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_truthy_proof.go,Result.DominatingTruthyBranchForPath,method,analysis/check/body,,unclassified,,,
analysis/check/body,branch_truthy_proof.go,Result.PathProvenTruthyByDominatingBranch,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,InterfaceMismatch,type,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,InterfaceMismatchKind,type,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,InterfaceMismatchMethodType,const,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,InterfaceMismatchMissingMethod,const,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentBoundaryCanRefine,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentBoundaryConcretizesTop,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentBoundaryNarrowsOnlyNilability,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentBoundaryRefinementAccepted,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentFunctionTypeAdmissible,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentFunctionTypeProvenMismatch,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentNilabilityOnlyRefinement,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentRuntimeValidationCanAdoptBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallArgumentSolvedTypeProvenMismatch,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.CallerOwnedParameterSource,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.ExplicitTopDeclaredPathType,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.PathHasPositiveRuntimeTypeGuard,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.PathHasRuntimeProof,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.PathHasRuntimeTypeGuard,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RecordInterfaceMismatch,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RootPathArgumentUsesBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RootPathHasDominatingRuntimeValidationAssignment,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RootPathHasTrustedDominatingAssignmentSource,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RootPathHasTrustedEntryValue,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RootPathHasTrustedGenericForVariable,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,Result.RootPathHasTrustedNumericForVariable,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_argument_trust.go,TypeMayBeNilMismatch,func,analysis/check/body,,unclassified,,,
analysis/check/body,call_contract.go,InstantiatedCallFunction,type,analysis/check/body,,unclassified,,,
analysis/check/body,call_contract.go,Result.InstantiateCallFunctionType,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_invalidation.go,CallOutcomeHasExplicitGuardInvalidation,func,analysis/check/body,,unclassified,,,
analysis/check/body,call_invalidation.go,CallOutcomeHasGlobalGuardInvalidation,func,analysis/check/body,,unclassified,,,
analysis/check/body,call_invalidation.go,CallPathInvalidation,type,analysis/check/body,,unclassified,,,
analysis/check/body,call_invalidation.go,Result.CallMayInvalidateGuardFact,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_invalidation.go,Result.CallMayInvalidateTrackedPath,method,analysis/check/body,,unclassified,,,
analysis/check/body,call_invalidation.go,Result.CallMayInvalidateTrackedPathBetween,method,analysis/check/body,,unclassified,,,
analysis/check/body,channel_lifecycle.go,ChannelLifecycleClose,const,analysis/check/body,,unclassified,,,
analysis/check/body,channel_lifecycle.go,ChannelLifecycleMisuseProof,type,analysis/check/body,,unclassified,,,
analysis/check/body,channel_lifecycle.go,ChannelLifecycleOperation,type,analysis/check/body,,unclassified,,,
analysis/check/body,channel_lifecycle.go,ChannelLifecycleSend,const,analysis/check/body,,unclassified,,,
analysis/check/body,channel_lifecycle.go,Result.ChannelLifecycleMisuseProofs,method,analysis/check/body,,unclassified,,,
analysis/check/body,channel_select_exhaustiveness.go,ChannelSelectExhaustivenessProof,type,analysis/check/body,,unclassified,,,
analysis/check/body,channel_select_exhaustiveness.go,Result.ChannelSelectExhaustivenessProofs,method,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCaptureFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCaptureFactSchemaVersion,const,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCapturePolicy,type,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCapturePolicy.String,method,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCapturePolicyFull,const,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCapturePolicyUnknown,const,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,ClosureCapturePolicyWriteInvariant,const,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,Result.ClosureCaptureFacts,method,analysis/check/body,,unclassified,,,
analysis/check/body,closure_capture.go,Result.ForEachClosureCaptureFact,method,analysis/check/body,,unclassified,,,
analysis/check/body,composition_eligibility.go,CompositionEligibility,type,analysis/check/body,,unclassified,,,
analysis/check/body,composition_eligibility.go,CompositionEligibility.Eligible,method,analysis/check/body,,unclassified,,,
analysis/check/body,composition_eligibility.go,CompositionEligibility.RejectionReasons,method,analysis/check/body,,unclassified,,,
analysis/check/body,composition_eligibility.go,CompositionStateCapabilities,func,analysis/check/body,,unclassified,,,
analysis/check/body,composition_eligibility.go,CompositionStateCapability,type,analysis/check/body,,unclassified,,,
analysis/check/body,composition_eligibility.go,Static.CompositionEligibility,method,analysis/check/body,,unclassified,,,
analysis/check/body,concat_operand.go,ConcatOperandOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,concat_operand.go,Result.ForEachConcatOperandOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,config.go,Config.SolveConfig,method,analysis/check/body,,unclassified,,,
analysis/check/body,config.go,Globals,func,analysis/check/body,,unclassified,,,
analysis/check/body,control_flow_queries.go,Result.ImmediateDominator,method,analysis/check/body,,unclassified,,,
analysis/check/body,control_flow_queries.go,Result.PointCanReach,method,analysis/check/body,,unclassified,,,
analysis/check/body,control_flow_queries.go,Result.PointDominates,method,analysis/check/body,,unclassified,,,
analysis/check/body,dead_assignment_proof.go,DeadAssignmentProof,type,analysis/check/body,,unclassified,,,
analysis/check/body,dead_assignment_proof.go,Result.DeadAssignmentProofs,method,analysis/check/body,,unclassified,,,
analysis/check/body,debug_map.go,DbgLocal,type,analysis/check/body,,unclassified,,,
analysis/check/body,debug_map.go,DebugAnchor,type,analysis/check/body,,unclassified,,,
analysis/check/body,debug_map.go,DebugMapEntry,type,analysis/check/body,,unclassified,,,
analysis/check/body,debug_map.go,Result.DebugMap,method,analysis/check/body,,unclassified,,,
analysis/check/body,declaration_fact.go,FunctionDefinitionFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,declaration_fact.go,TypeDefinitionAlias,const,analysis/check/body,,unclassified,,,
analysis/check/body,declaration_fact.go,TypeDefinitionFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,declaration_fact.go,TypeDefinitionInterface,const,analysis/check/body,,unclassified,,,
analysis/check/body,declaration_fact.go,TypeDefinitionKind,type,analysis/check/body,,unclassified,,,
analysis/check/body,decomposable_allocation.go,AllocationSiteFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,decomposable_allocation.go,AllocationSiteFact.Licenses,method,analysis/check/body,,unclassified,,,
analysis/check/body,decomposable_allocation.go,AllocationSiteFactSchemaVersion,const,analysis/check/body,,unclassified,,,
analysis/check/body,decomposable_allocation.go,Result.AllocationSiteFacts,method,analysis/check/body,,unclassified,,,
analysis/check/body,decomposable_allocation.go,Result.ForEachAllocationSiteFact,method,analysis/check/body,,unclassified,,,
analysis/check/body,decomposable_allocation.go,Result.ForEachDecomposableAllocationSiteFact,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,ExpressionLabel,func,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,LiteralExpressionType,func,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.DeclaredExpressionTypeAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.DeclaredOrVariantOriginPathTypeAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.DeclaredPathType,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.DeclaredPathTypeAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.DiscriminantProvenMemberTypeBeforeBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.DominatingAliasDeclaredOrVariantOriginPathTypeAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.ExpressionTypeBeforeBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.OptionalExhaustivenessPathTypeAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.SymbolDeclaredType,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_projection.go,Result.SymbolHasTypeAnnotation,method,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUse,type,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseBranchCondition,const,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseCall,const,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseLocalAssignmentSource,const,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseOrdinaryAssignmentSource,const,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseOrdinaryAssignmentTarget,const,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseReturn,const,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,ExpressionUseRole,type,analysis/check/body,,unclassified,,,
analysis/check/body,expression_use.go,Result.ForEachReachableExpressionUse,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_definition_query.go,Result.DominatingFunctionDefinitionForPath,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_definition_query.go,Result.DominatingFunctionDefinitionForPathWithPoint,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_type_spans.go,FunctionReturnTypeSpans,func,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,FunctionValueContext,type,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,FunctionValueTypes,type,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,FunctionValueTypesEqual,func,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.CanonicalFunctionValueTypes,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.ExpressionMayBeFunctionBeforeBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.ExpressionProvenFunctionAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionParamTypeSpansForCalleePath,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionReturnTypeSpansForCalleePath,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeForCallPointAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeForCallSiteAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeForCalleePath,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeForPathValueAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeForValue,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.FunctionValueTypeForValueAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,Result.HasFunctionValueTypes,method,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,SealFunctionValueTypes,func,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,WithFunctionValueTypes,func,analysis/check/body,,unclassified,,,
analysis/check/body,function_value_types.go,WithOwnedFunctionValueTypes,func,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_fact.go,GenericForFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_fact.go,GenericForRole,type,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_fact.go,GenericForRoleCheck,const,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_fact.go,GenericForRoleVariable,const,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_fact.go,NoGenericForVariableIndex,const,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_transfer.go,genericForConcreteSemantics.ApplyGenericForMembership,method,analysis/check/body,,unclassified,,,
analysis/check/body,generic_for_transfer.go,genericForConcreteSemantics.ResolveGenericFor,method,analysis/check/body,,unclassified,,,
analysis/check/body,if_branch_chain.go,IfBranch,type,analysis/check/body,,unclassified,,,
analysis/check/body,if_branch_chain.go,IfBranchChain,type,analysis/check/body,,unclassified,,,
analysis/check/body,if_branch_chain.go,IfBranchChain.HasElseIf,method,analysis/check/body,,unclassified,,,
analysis/check/body,if_branch_chain.go,Result.IfBranchChains,method,analysis/check/body,,unclassified,,,
analysis/check/body,index_expression.go,Result.IndexReadSafeForExpressionAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,index_expression.go,Result.NumericIndexExpressionTypeAtBoundary,method,analysis/check/body,,unclassified,,,
analysis/check/body,indexed_path_lookup.go,IndexedPathLookup,type,analysis/check/body,,unclassified,,,
analysis/check/body,indexed_path_lookup.go,Result.IndexedPathLookupsAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,LifecycleObligationProof,type,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,LifecycleSite,type,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,LifecycleSiteAcquire,const,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,LifecycleSiteEscape,const,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,LifecycleSiteKind,type,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,LifecycleSiteTransition,const,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,Result.LifecycleObligationProofs,method,analysis/check/body,,unclassified,,,
analysis/check/body,lifecycle_obligation.go,Result.LifecycleSites,method,analysis/check/body,,unclassified,,,
analysis/check/body,member_read_nil_witness.go,Result.MemberReadCanMiss,method,analysis/check/body,,unclassified,,,
analysis/check/body,member_read_nil_witness.go,Result.MemberReadCanMissOrDeclaredNilable,method,analysis/check/body,,unclassified,,,
analysis/check/body,member_read_nil_witness.go,Result.WithMemberReadNilWitness,method,analysis/check/body,,unclassified,,,
analysis/check/body,member_read_presence_dominance.go,Result.DominatingRequiredMemberReadProvesPathPresent,method,analysis/check/body,,unclassified,,,
analysis/check/body,module_type_alias.go,requireAliasTypeResolver.ResolveTypeRef,method,analysis/check/body,,unclassified,,,
analysis/check/body,nilability_source.go,NilabilitySourceInfo,type,analysis/check/body,,unclassified,,,
analysis/check/body,nilability_source.go,Result.NilabilityAccessEvidenceFor,method,analysis/check/body,,unclassified,,,
analysis/check/body,nilability_source.go,Result.NilabilitySourceInfoFor,method,analysis/check/body,,unclassified,,,
analysis/check/body,non_nil_assertion.go,NonNilAssertionOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,non_nil_assertion.go,Result.ForEachNonNilAssertionOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,numeric_for_fact.go,NumericForFact,type,analysis/check/body,,unclassified,,,
analysis/check/body,numeric_for_fact.go,NumericForRole,type,analysis/check/body,,unclassified,,,
analysis/check/body,numeric_for_fact.go,NumericForRoleCheck,const,analysis/check/body,,unclassified,,,
analysis/check/body,numeric_for_fact.go,NumericForRoleInit,const,analysis/check/body,,unclassified,,,
analysis/check/body,numeric_for_operand.go,NumericForOperandOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,numeric_for_operand.go,Result.ForEachNumericForOperandOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,object_literal_assignment.go,ObjectLiteralEntryProof,type,analysis/check/body,,unclassified,,,
analysis/check/body,object_literal_assignment.go,ObjectLiteralMissingRequired,func,analysis/check/body,,unclassified,,,
analysis/check/body,object_literal_assignment.go,Result.ObjectLiteralEntryProofAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,object_literal_assignment.go,Result.ObjectLiteralShapeTypeAt,method,analysis/check/body,,unclassified,,,
analysis/check/body,object_literal_keys.go,Result.ObjectLiteralStaticStringKeysAtSource,method,analysis/check/body,,unclassified,,,
analysis/check/body,observation_seal.go,ObservationPlan,type,analysis/check/body,,unclassified,,,
analysis/check/body,observation_seal.go,PublishedFacts,type,analysis/check/body,,unclassified,,,
analysis/check/body,observation_seal.go,Result.ObservationStats,method,analysis/check/body,,unclassified,,,
